category,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price
car,Toyota,Allion 260,2009,Automatic,Petrol,1500,92000,5150000
car,Suzuki,Maruti,2012,Manual,Petrol,800,47000,1260000
car,Honda,City,2003,Automatic,Petrol,1500,108000,2490000
van,Toyota,CR42,2001,Automatic,Diesel,2200,142500,4300000
pickup,Tata,Xenon,2016,Manual,Diesel,3000,18500,1900000
car,Toyota,Vitz,2017,Automatic,Petrol,1000,31000,4775000
car,Toyota,Aqua S Grade,2014,Automatic,Hybrid,1500,75000,3795000
car,Suzuki,Alto,2015,Manual,Petrol,800,75800,1950000
pickup,Toyota,Hilux Vigo,2009,Manual,Diesel,2500,144000,3725000
car,Toyota,Allion 240,2002,Automatic,Petrol,1500,210000,3550000
van,Suzuki,Spacia,2015,Automatic,Petrol,650,45000,3050000
car,Suzuki,Celerio ZXI,2017,Automatic,Petrol,1000,45000,2560000
van,Toyota,Hiace,2013,Automatic,Petrol,2000,135000,6150000
pickup,Mahindra,Bolero,2018,Manual,Diesel,2500,42000,2375000
car,Toyota,Premio,2019,Automatic,Petrol,1500,610,11500000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,25000,4075000
suv,Nissan,X-Trail,2016,Automatic,Hybrid,2000,57000,8000000
car,Nissan,Bluebird,2010,Automatic,Petrol,1500,98900,3450000
car,Suzuki,Wagon R FZ,2016,Automatic,Petrol,650,67000,2400000
car,Suzuki,Maruti,2010,Manual,Petrol,800,45000,1285000
car,Suzuki,A-Star,2010,Manual,Petrol,1000,76000,1840000
pickup,Nissan,Navara,2007,Manual,Diesel,2500,95000,3800000
car,Mazda,RX-8,2007,Automatic,Petrol,1300,75500,3375000
van,Toyota,KDH 200 Super GL,2006,Manual,Diesel,2500,333000,5800000
car,Suzuki,Maruti 800,2012,Manual,Petrol,650,41200,1330000
car,Suzuki,Swift,2004,Automatic,Petrol,1300,135000,2270000
car,Micro,Panda,2013,Manual,Petrol,1000,58000,1275000
car,Perodua,Axia,2016,Automatic,Petrol,1000,58000,3100000
car,Suzuki,Swift,2004,Automatic,Petrol,1300,80000,2175000
car,Toyota,Soluna,2001,Automatic,Petrol,1500,127000,1775000
car,Suzuki,Alto 800,2015,Manual,Petrol,800,25700,1840000
car,Micro,Panda,2015,Manual,Petrol,1000,38600,1490000
car,Suzuki,Alto K10,2015,Manual,Petrol,1000,77000,2295000
pickup,Mahindra,Bolero,2012,Manual,Diesel,2500,24190,1375000
car,Toyota,Axio Fielder,2015,Automatic,Hybrid,1500,92000,5175000
car,Kia,Rio,2003,Automatic,Petrol,1500,80000,1360000
pickup,Mahindra,Bolero,2015,Manual,Diesel,2500,50000,2325000
car,Suzuki,Celerio VXI,2015,Automatic,Petrol,1000,63000,2385000
car,Nissan,EX Saloon,2000,Automatic,Petrol,1300,182098,2275000
car,Suzuki,Alto,2011,Manual,Petrol,800,89000,1600000
car,Suzuki,Maruti 800,2005,Manual,Petrol,800,250017,1075000
suv,Nissan,X-Trail,2004,Automatic,Petrol,2000,186000,3250000
car,Datsun,Redi-GO,2016,Manual,Petrol,800,39000,1725000
car,Toyota,Aqua,2014,Automatic,Hybrid,1500,78000,3300000
suv,Toyota,CHR GT TURBO,2020,Automatic,Petrol,1200,6250,10500000
car,Toyota,Premio G Superior,2013,Automatic,Petrol,1500,75000,6175000
car,Suzuki,Zen,2006,Manual,Petrol,1000,150000,1225000
car,Toyota,Allion,2004,Automatic,Petrol,1500,120000,3290000
van,Nissan,Caravan,2002,Manual,Diesel,2500,175050,4000000
van,Toyota,Hiace KDH 201 GL,2015,Automatic,Diesel,3000,40000,8100000
van,Suzuki,Every DA64,2017,Automatic,Petrol,650,42890,3880000
car,Suzuki,Alto 800 LXI,2005,Manual,Petrol,800,118000,1245000
car,Nissan,Leaf,2013,Automatic,Electric,80,72000,1375000
van,Suzuki,Every DA64,2016,Automatic,Petrol,650,74250,3975000
car,Suzuki,Alto,2015,Manual,Petrol,800,65500,1985000
car,Toyota,Aqua S Grade,2014,Automatic,Petrol,1500,60000,3700000
car,Hyundai,Accent,2004,Manual,Petrol,1500,136800,1060000
car,Nissan,Sunny N16,2003,Automatic,Petrol,1500,213000,2500000
van,Toyota,Noah KR42,2006,Manual,Petrol,1700,98000,3490000
van,Suzuki,Every,2002,Automatic,Petrol,650,216085,1650000
car,Suzuki,Alto,2008,Manual,Petrol,800,99000,1440000
car,Nissan,FB15 Super Saloon,2004,Automatic,Petrol,1500,132000,2790000
car,Nissan,Bluebird,2000,Manual,Diesel,2000,225000,1520000
car,Honda,Fit GP1,2013,Automatic,Petrol,1300,69286,3695000
car,Toyota,Soluna,2000,Manual,Petrol,1500,92813,1650000
car,Toyota,Premio,2011,Automatic,Petrol,1500,96000,5950000
van,Nissan,Caravan,2012,Automatic,Diesel,3000,200000,4200000
car,Nissan,AD WAGON VY11,2002,Automatic,Petrol,1500,170000,1650000
car,Datsun,Redi-GO,2017,Manual,Petrol,800,59800,1675000
car,Suzuki,Alto,2016,Manual,Petrol,800,89300,2025000
van,Nissan,Vanette,2003,Manual,Diesel,2200,201000,3500000
car,Micro,Panda Cross,2015,Manual,Petrol,1300,64020,1690000
car,Suzuki,Alto Japan,2017,Automatic,Petrol,650,42000,3195000
car,Suzuki,Wagon R FZ,2017,Automatic,Hybrid,650,32150,3395000
car,Honda,Grace EX,2015,Automatic,Hybrid,1500,91000,4925000
van,Toyota,Hiace,2012,Automatic,Petrol,2000,190000,6000000
car,Nissan,N16,2000,Manual,Petrol,1500,99090,2250000
car,Toyota,Premio,2013,Automatic,Petrol,1500,81750,6685000
car,Toyota,Axio,2007,Automatic,Petrol,1500,127000,4080000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,45000,4350000
suv,Kia,Sorento,2011,Automatic,Petrol,2200,175000,7475000
car,Suzuki,Wagon R,2015,Automatic,Petrol,650,43000,2885000
car,Chery,QQ,2011,Manual,Petrol,800,29000,1050000
van,Suzuki,Every,2015,Automatic,Petrol,650,79000,3275000
car,Suzuki,Alto,2016,Manual,Petrol,800,35372,1300000
pickup,Tata,Xenon,2015,Manual,Diesel,3000,80100,1650000
car,Toyota,Roomy,2017,Automatic,Petrol,1000,35000,3800000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,77000,3875000
car,Toyota,Allion,2007,Automatic,Petrol,1500,120000,4850000
van,Suzuki,Every,2018,Automatic,Petrol,650,25500,3390000
car,Nissan,FB15,2001,Automatic,Petrol,1500,157750,2200000
car,Toyota,Prius S Touring,2014,Automatic,Petrol,1800,30000,5700000
car,Suzuki,Wagon R,2014,Automatic,Hybrid,650,65000,2975000
car,Hyundai,Accent,2001,Automatic,Petrol,1500,152000,1580000
van,Suzuki,Every,2014,Automatic,Petrol,650,70000,2790000
car,Suzuki,Celerio,2014,Automatic,Petrol,1000,84000,2225000
car,Tata,Nano Twist,2015,Manual,Petrol,650,111653,1175000
suv,Toyota,CHR GT TURBO,2018,Automatic,Petrol,1200,39000,7490000
van,Toyota,Dolphin,2008,Automatic,Diesel,1500,83000,4600000
car,Datsun,Redi-GO,2016,Manual,Petrol,800,59000,1760000
van,Suzuki,Every,2001,Manual,Petrol,650,125450,1650000
van,Toyota,KDH 201 Super GL,2011,Automatic,Diesel,3000,128000,7490000
car,Mahindra,KUV 100 NXT,2020,Manual,Petrol,1200,76,3250000
car,Suzuki,Alto,2017,Automatic,Petrol,650,29000,3175000
car,Suzuki,Wagon R Stingray,2015,Automatic,Hybrid,650,94000,3090000
car,Honda,Grace EX,2014,Automatic,Petrol,1500,115000,4875000
car,Toyota,Axio,2007,Automatic,Petrol,1500,159000,3990000
car,Nissan,Cefiro,2001,Automatic,Petrol,2000,150000,2350000
car,Toyota,Wigo,2018,Automatic,Petrol,1000,54000,3900000
car,Nissan,Dayz,2017,Automatic,Petrol,650,22000,2926000
van,Mitsubishi,Mini Cab,2006,Automatic,Petrol,650,95280,2340000
car,Micro,Panda,2017,Manual,Petrol,1000,35800,1650000
car,Honda,Freed,2013,Automatic,Petrol,1500,52500,4200000
car,Hyundai,Sonata,2000,Automatic,Petrol,2000,115800,1275000
car,Honda,Fit Shuttle,2013,Automatic,Petrol,1300,165000,4265000
van,Toyota,Noah,2003,Automatic,Diesel,2000,245100,3575000
car,Tata,Nano,2012,Manual,Petrol,650,120000,850000
car,Mazda,Familia BJ5P,2002,Automatic,Petrol,1500,110000,2300000
car,Toyota,Prius S Touring,2011,Automatic,Petrol,1800,95500,3525000
car,Nissan,Dayz,2018,Automatic,Petrol,650,2000,3715000
car,Nissan,FB14,2006,Automatic,Petrol,1300,130300,1675000
van,Nissan,Clipper NV100,2013,Automatic,Petrol,650,99400,2625000
car,Hyundai,Accent,2000,Manual,Petrol,1300,180000,1175000
car,Suzuki,Estilo,2011,Manual,Petrol,1000,80000,2075000
car,Toyota,Allion,2016,Automatic,Petrol,1500,78000,7890000
car,Suzuki,Alto Japan,2016,Automatic,Petrol,650,45000,2450000
pickup,Tata,Xenon,2013,Manual,Diesel,3000,185000,1345000
car,Hyundai,Elantra,2000,Manual,Petrol,1600,200000,1650000
car,Toyota,Axio Fielder,2008,Automatic,Petrol,1500,135000,3575000
car,Nissan,March AK12,2003,Automatic,Petrol,1300,124000,1775000
car,Toyota,Corolla 121,2005,Automatic,Petrol,1500,153000,2825000
car,Suzuki,Swift Beetle,2010,Automatic,Petrol,1300,97000,3310000
car,Toyota,Vios,2008,Manual,Petrol,1500,164000,2500000
suv,Kia,Sportage,2014,Automatic,Diesel,2000,130000,7200000
car,Toyota,Prius,2013,Automatic,Hybrid,1800,85000,4500000
car,Kia,Rio,2015,Automatic,Petrol,1500,43000,4795000
car,Suzuki,Wagon R Stingray,2015,Automatic,Petrol,650,39000,2625000
car,Suzuki,Alto K10,2015,Manual,Petrol,1000,17000,2425000
car,Toyota,Vios,2004,Automatic,Petrol,1500,141000,2925000
suv,Honda,Vezel RS,2017,Automatic,Hybrid,1500,48000,5950000
car,Honda,N Box,2015,Automatic,Petrol,650,39000,3775000
car,Tata,Indigo,2008,Manual,Petrol,1500,48000,1265000
suv,Mitsubishi,Outlander,2008,Automatic,Petrol,2400,97000,5000000
car,Toyota,Corolla 110,2004,Automatic,Petrol,1300,195000,2490000
car,Toyota,Axio WXB,2017,Automatic,Hybrid,1500,90000,6375000
van,Toyota,KDH,2011,Automatic,Diesel,2900,213000,7450000
car,Honda,Freed,2013,Automatic,Hybrid,1500,39000,5000000
car,Suzuki,Maruti,2006,Manual,Petrol,800,110000,830000
van,Nissan,Vanette,2006,Automatic,Diesel,2200,200000,3175000
car,Suzuki,Wagon R Stingray,2018,Automatic,Petrol,650,37000,1000000
car,Suzuki,Alto,2016,Manual,Petrol,800,58300,2090000
car,Tata,Nano Twist,2015,Manual,Petrol,650,100000,1090000
van,Nissan,Caravan,2002,Manual,Diesel,3000,300000,3620000
car,Suzuki,Alto,2015,Manual,Petrol,800,82150,1750000
car,Hyundai,Accent,2001,Automatic,Petrol,1600,143400,1375000
car,Toyota,Corolla 110,2000,Automatic,Petrol,1500,152000,2590000
car,Suzuki,Alto,2010,Manual,Petrol,800,120000,1460000
pickup,Mahindra,Bolero,2017,Manual,Diesel,2500,30000,2175000
car,Perodua,Viva Elite,2011,Automatic,Petrol,1000,120000,2150000
car,Hyundai,Sonata,2013,Automatic,Petrol,2000,110000,1150000
van,Suzuki,Spacia,2015,Automatic,Hybrid,650,42000,2890000
van,Nissan,Vanette,2002,Manual,Diesel,2000,50000,3050000
suv,Kia,Sportage,2000,Manual,Diesel,1900,19000,2275000
car,Toyota,Corolla 141,2013,Manual,Diesel,2000,123000,3925000
car,Honda,City,2005,Manual,Petrol,1500,170000,1875000
car,Toyota,Axio,2017,Automatic,Hybrid,1500,27000,7000000
car,Perodua,Viva Elite,2013,Automatic,Petrol,1000,65000,2590000
car,Suzuki,Wagon R,2018,Automatic,Hybrid,650,27000,3435000
car,Suzuki,Wagon R,2018,Automatic,Hybrid,650,70000,3295000
car,Toyota,Aqua,2014,Automatic,Hybrid,1500,91000,3850000
car,Toyota,Axio X Grade,2007,Automatic,Petrol,1500,91000,3950000
car,Nissan,Leaf,2015,Automatic,Electric,70,30000,2500000
car,Suzuki,Wagon R,2016,Automatic,Hybrid,650,55000,2590000
car,Suzuki,Wagon R FZ,2017,Automatic,Hybrid,650,53000,3320000
car,Hyundai,Elantra,2000,Manual,Petrol,1600,135000,1600000
car,Toyota,Vitz,2015,Automatic,Petrol,1000,52000,3785000
car,Toyota,Vitz,2007,Automatic,Petrol,1000,98000,3250000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,84000,3850000
van,Suzuki,Every,2000,Automatic,Petrol,800,154500,1550000
car,Suzuki,Maruti,2007,Manual,Petrol,800,64000,1060000
car,Toyota,Carina,2000,Manual,Petrol,1600,147000,2175000
car,Suzuki,A-Star,2010,Manual,Petrol,1000,109000,2050000
van,Nissan,Caravan,2005,Automatic,Diesel,3000,295000,3950000
van,Mazda,Bongo,2011,Automatic,Diesel,2000,192300,3750000
car,Suzuki,Alto K10,2011,Manual,Petrol,1000,75000,1775000
suv,Toyota,RAV4,2004,Manual,Petrol,2000,98000,2975000
car,Suzuki,Celerio,2016,Automatic,Petrol,1000,21000,2475000
car,Suzuki,Alto 800 LXI,2005,Manual,Petrol,800,105000,1310000
car,Kia,Spectra,2004,Manual,Petrol,1600,126000,1100000
van,Toyota,Noah,2001,Automatic,Diesel,1800,150000,3950000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,33500,4625000
suv,Toyota,CHR GT TURBO,2017,Automatic,Petrol,1200,37200,6990000
car,Suzuki,Celerio VXI,2016,Manual,Petrol,1000,73000,2575000
pickup,Mahindra,Bolero,2017,Manual,Diesel,2500,111700,2250000
car,Nissan,Dayz,2016,Automatic,Petrol,650,58983,3375000
car,Micro,Panda,2015,Automatic,Petrol,1000,35000,1575000
car,Toyota,Vios,2004,Automatic,Petrol,1500,130000,2525000
car,Nissan,N16,2001,Automatic,Petrol,1600,159000,2000000
car,Mazda,Familia,2001,Automatic,Petrol,1300,135260,2250000
suv,Honda,Vezel,2014,Automatic,Hybrid,1500,49100,4850000
car,Suzuki,Celerio,2015,Automatic,Petrol,1000,43000,2725000
car,Honda,Insight,2009,Automatic,Petrol,1300,117000,3300000
car,Suzuki,Alto,2015,Manual,Petrol,800,70000,1900000
car,Toyota,Axio,2018,Automatic,Hybrid,1500,15807,6400000
van,Nissan,Caravan,2004,Manual,Diesel,3300,387057,3000000
car,Toyota,Premio,2018,Automatic,Petrol,1500,34000,11000000
car,Nissan,Leaf,2013,Automatic,Electric,70,44000,1500000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,57000,4875000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,22000,5100000
car,Suzuki,Wagon R Stingray,2017,Automatic,Petrol,650,37000,3675000
car,Toyota,Axio G Grade,2013,Automatic,Hybrid,1500,110000,4550000
car,Suzuki,Alto,2013,Manual,Petrol,800,53000,1650000
car,Suzuki,Maruti Alto,2015,Manual,Petrol,800,66000,2025000
car,Toyota,Aqua G Sport,2014,Automatic,Hybrid,1500,52000,3975000
car,Toyota,Vitz,2007,Automatic,Petrol,1000,93000,2750000
van,Toyota,Noah KR42,2003,Automatic,Petrol,1800,200000,3390000
car,Perodua,Viva Elite,2013,Automatic,Petrol,1000,17000,2480000
car,Suzuki,Wagon R,2016,Automatic,Petrol,650,52000,2990000
car,Toyota,Aqua,2012,Automatic,Hybrid,1500,220000,3625000
car,Suzuki,Maruti,2011,Manual,Petrol,800,145000,1165000
car,Suzuki,Celerio,2016,Automatic,Petrol,1000,105000,2400000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,73000,3925000
car,Toyota,Aqua,2014,Automatic,Petrol,1500,65000,3600000
car,Nissan,FB15 Ex Saloon,2001,Automatic,Petrol,1500,131000,2160000
car,Toyota,Vitz,2008,Automatic,Petrol,1000,73432,3325000
van,Nissan,Clipper,2019,Automatic,Petrol,650,36000,3350000
van,Suzuki,Every,2003,Automatic,Petrol,650,170000,1650000
car,Suzuki,Liana,2002,Manual,Petrol,1300,117000,1740000
car,Nissan,March,2000,Manual,Petrol,1000,210000,1850000
car,Honda,Grace,2016,Automatic,Hybrid,1500,61132,6195000
car,Nissan,Bluebird,2003,Automatic,Petrol,1500,144990,2790000
car,Suzuki,Wagon R Stingray,2017,Automatic,Hybrid,650,34000,3700000
car,Suzuki,Zen,2005,Manual,Petrol,1000,109588,1275000
car,Toyota,Roomy,2019,Automatic,Petrol,1000,3000,4750000
car,Mazda,RX-8,2013,Automatic,Petrol,1300,48000,5900000
car,Honda,City,2003,Automatic,Petrol,1500,200000,2300000
van,Nissan,Clipper NV100,2017,Automatic,Petrol,650,53000,4425000
car,Toyota,Yaris,2008,Automatic,Petrol,1300,120600,3550000
car,Suzuki,Alto,2007,Automatic,Petrol,650,55000,1950000
car,Toyota,Prius,2014,Automatic,Hybrid,1800,72000,4800000
car,Toyota,Corolla 141,2008,Automatic,Petrol,1600,105000,3650000
car,Suzuki,Wagon R,2015,Automatic,Petrol,650,64000,2550000
pickup,Mahindra,Bolero,2015,Manual,Diesel,2500,70000,1550000
car,Suzuki,Wagon R FX,2017,Automatic,Petrol,650,48000,3205000
car,Toyota,Vitz,2005,Automatic,Petrol,1000,88000,2425000
van,Nissan,Vanette Lion Face,2006,Manual,Petrol,2200,120000,3350000
car,Toyota,Axio,2015,Automatic,Hybrid,1500,102000,5150000
car,Perodua,Viva Elite,2013,Automatic,Petrol,1000,69500,2300000
car,Suzuki,Wagon R FZ,2017,Automatic,Petrol,650,39000,3475000
suv,Honda,Vezel,2018,Automatic,Hybrid,1500,45000,7650000
van,Suzuki,Every,2018,Automatic,Petrol,650,14712,3795000
car,Suzuki,Swift Center Antenna,2003,Automatic,Petrol,1300,136000,2450000
van,Suzuki,Spacia,2017,Automatic,Hybrid,650,82500,3195000
car,Suzuki,Alto,2011,Manual,Petrol,800,35000,1530000
car,Suzuki,Alto K10,2011,Manual,Petrol,1000,75000,1690000
car,Nissan,Cefiro,2003,Automatic,Petrol,2000,142000,1975000
car,Nissan,Sunny,2007,Manual,Petrol,1300,201200,2550000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,28500,5225000
car,Nissan,March,2002,Automatic,Petrol,1300,103000,1990000
car,Nissan,Sunny,2000,Automatic,Petrol,1500,160000,2250000
car,Suzuki,Maruti,2011,Manual,Petrol,800,49300,1295000
car,Toyota,Corolla,2001,Automatic,Petrol,1500,196000,3200000
car,Suzuki,Alto 800 LXI,2014,Manual,Petrol,800,60000,1815000
van,Nissan,Clipper,2012,Automatic,Petrol,650,104020,2275000
car,Tata,Indica V2,2014,Manual,Petrol,1500,66000,1250000
car,Toyota,Corolla 121,2002,Automatic,Petrol,1500,100000,2750000
car,Suzuki,Alto Japan,2017,Automatic,Hybrid,650,15000,3175000
car,Toyota,Aqua,2014,Automatic,Hybrid,1500,85000,3550000
van,Toyota,KDH,2007,Automatic,Diesel,2500,200000,6200000
van,Suzuki,Every,2007,Manual,Petrol,650,14456,1975000
car,Honda,Insight,2009,Automatic,Hybrid,1300,140000,3200000
suv,Toyota,Harrier,2014,Automatic,Petrol,2500,78780,10250000
car,Honda,Insight,2009,Automatic,Hybrid,1300,90000,3150000
car,Suzuki,Alto Sport,2010,Manual,Petrol,800,100100,1560000
car,Suzuki,Alto 800,2014,Manual,Petrol,800,66000,1660000
car,Toyota,Aqua,2012,Automatic,Hybrid,1500,69000,3475000
car,Nissan,N17,2001,Manual,Petrol,1500,170000,2150000
suv,Mitsubishi,Montero Sport,2012,Automatic,Diesel,2500,139000,8425000
car,Hyundai,Trajet,2000,Automatic,Petrol,2000,205000,1850000
car,Nissan,March K11,2001,Automatic,Petrol,1000,188743,1750000
pickup,Tata,Xenon,2010,Manual,Diesel,3000,150000,1600000
car,Toyota,Aqua,2015,Automatic,Petrol,1500,152000,3850000
car,Suzuki,Maruti 800,2013,Manual,Petrol,800,75000,1425000
car,Toyota,Premio G Superior,2019,Automatic,Petrol,1500,12000,11150000
car,Toyota,Vitz,2007,Automatic,Petrol,1000,77500,3275000
pickup,Tata,Xenon,2015,Manual,Diesel,3000,30000,1800000
car,Toyota,Premio F EX G Superior,2018,Automatic,Diesel,1500,34263,9875000
car,Micro,Panda,2014,Manual,Petrol,1000,36000,1450000
suv,Mitsubishi,Outlander,2015,Automatic,Hybrid,2000,93759,9175000
car,Toyota,Premio,2016,Automatic,Petrol,1500,56000,8800000
suv,Hyundai,Tuscon,2013,Automatic,Diesel,2000,102000,5490000
car,Suzuki,Alto Japan,2018,Automatic,Hybrid,650,17133,3320000
pickup,Mahindra,Bolero,2017,Manual,Diesel,1500,31223,2185000
car,Toyota,Vitz,2019,Automatic,Petrol,1000,31900,4250000
car,Toyota,Axio,2007,Automatic,Petrol,1500,116000,4075000
car,Toyota,Prius,2016,Automatic,Hybrid,1800,97000,6725000
car,Mitsubishi,CS1,2002,Manual,Petrol,1300,256000,2225000
car,Micro,Trend,2009,Manual,Petrol,1100,75000,1100000
car,Suzuki,Alto Sport,2010,Manual,Petrol,800,55000,1700000
car,Toyota,Aqua S Grade,2015,Automatic,Hybrid,1500,52300,3775000
car,Toyota,Aqua X Urban,2015,Automatic,Hybrid,1500,80000,4575000
car,Toyota,Premio,2019,Automatic,Petrol,1500,16000,9450000
car,Suzuki,Alto,2011,Manual,Petrol,800,43696,1590000
car,Toyota,Prius,2011,Automatic,Hybrid,1800,110000,3550000
van,Toyota,Noah,2007,Automatic,Petrol,1700,100000,3900000
car,Perodua,Viva Elite,2011,Automatic,Petrol,1000,22220,2375000
car,Tata,Nano,2014,Manual,Petrol,650,18500,1125000
car,Toyota,Premio,2018,Automatic,Petrol,1500,27000,12600000
car,Suzuki,Swift,2004,Automatic,Petrol,1300,110000,2395000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,45000,4375000
van,Nissan,Caravan,2007,Automatic,Diesel,3000,190000,3510000
car,Nissan,FB15,2006,Automatic,Petrol,1500,168000,2600000
van,Nissan,Caravan,2011,Manual,Diesel,3000,285000,3850000
car,Honda,Civic FD3,2008,Automatic,Hybrid,1300,89000,3550000
car,Mitsubishi,Lancer,2002,Automatic,Petrol,1300,70000,1975000
suv,Honda,CRV,2019,Automatic,Petrol,1500,17800,10975000
car,Toyota,Prius,2008,Automatic,Petrol,1800,87500,3275000
car,Toyota,Carina,2001,Automatic,Petrol,1500,117000,3100000
van,Suzuki,Every,2014,Automatic,Petrol,650,75000,2850000
suv,Mahindra,Bolero,2010,Manual,Diesel,2800,70000,1890000
van,Toyota,KDH 200 Super GL,2006,Automatic,Diesel,2400,170300,3850000
car,Toyota,Prius W,2016,Automatic,Hybrid,1800,65000,7500000
van,Suzuki,Every,2013,Automatic,Petrol,650,141600,2675000
car,Kia,Rio,2001,Manual,Petrol,1500,125000,1175000
car,Nissan,Dayz Highway Star,2015,Automatic,Petrol,650,9700,3675000
car,Toyota,Premio,2016,Automatic,Petrol,1500,29000,9000000
car,Toyota,Axio,2016,Automatic,Petrol,1500,41000,5800000
car,Suzuki,Wagon R FX,2018,Automatic,Hybrid,650,2508,3220000
car,Honda,Civic ES8,2001,Manual,Petrol,1500,191500,2500000
car,Toyota,Aqua,2013,Automatic,Hybrid,1500,182200,3250000
pickup,Mahindra,Bolero,2014,Manual,Diesel,2500,65000,1650000
car,Nissan,Bluebird,2000,Automatic,Petrol,2000,205000,1575000
car,Nissan,N16 Super Saloon,2004,Automatic,Petrol,1500,150000,1375000
car,Suzuki,Alto Japan,2018,Automatic,Petrol,650,51000,3180000
car,Hyundai,Trajet,2000,Automatic,Petrol,2000,200000,1700000
car,Suzuki,Maruti,2011,Manual,Petrol,800,79000,1290000
car,Hyundai,Matrix,2001,Automatic,Petrol,1600,119770,1395000
car,Suzuki,Alto K10,2011,Manual,Petrol,1000,62000,1785000
car,Suzuki,Alto K10,2015,Manual,Petrol,1000,33000,1975000
van,Suzuki,Omni,2008,Manual,Petrol,800,98000,1100000
car,Suzuki,Swift,2007,Automatic,Petrol,1300,58000,2550000
car,Suzuki,Alto K10,2012,Manual,Petrol,1000,167000,1875000
suv,Nissan,X-Trail,2001,Automatic,Petrol,2000,149000,3350000
car,Suzuki,Ignis,2016,Automatic,Hybrid,1300,31800,4350000
car,Daihatsu,Mira,2018,Automatic,Petrol,650,6590,3810000
car,Toyota,Premio G Superior,2017,Automatic,Petrol,1500,53000,9375000
car,Toyota,Prius 2nd Generation,2008,Automatic,Petrol,1500,129000,3125000
car,Perodua,Kelisa,2007,Manual,Petrol,1000,114411,1850000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,38000,5325000
car,Toyota,Aqua,2013,Automatic,Hybrid,1500,28000,4450000
van,Toyota,KDH 200 Super GL,2006,Automatic,Diesel,2500,137000,6550000
car,Suzuki,Wagon R,2014,Manual,Petrol,650,84000,2780000
car,Nissan,AD WAGON VY11,2002,Automatic,Petrol,1300,178000,1650000
car,Suzuki,Maruti 800,2011,Manual,Petrol,800,65300,1295000
car,Suzuki,Wagon R Stingray,2014,Automatic,Hybrid,650,26140,3100000
car,Nissan,Bluebird,2008,Automatic,Petrol,1500,119142,3500000
car,Toyota,Allion 240,2005,Automatic,Petrol,1500,128000,4150000
suv,Kia,Sportage,2011,Automatic,Petrol,1600,76500,5350000
car,Toyota,Axio WXB,2017,Automatic,Hybrid,1500,22000,7050000
car,Nissan,FB15,2004,Automatic,Petrol,1500,128000,2850000
car,Suzuki,Alto Sport,2015,Manual,Petrol,800,80110,1950000
car,Nissan,N16,2001,Automatic,Petrol,1500,130000,2025000
car,Suzuki,Alto,2015,Manual,Petrol,800,62000,1890000
van,Nissan,Caravan,2006,Automatic,Diesel,3000,246900,4780000
car,Tata,Indica V2,2015,Manual,Petrol,1200,18000,1875000
suv,Honda,Vezel,2014,Automatic,Petrol,1500,63000,4385000
van,Toyota,KDH 201,2008,Automatic,Diesel,3000,143000,7525000
car,Suzuki,Maruti,2007,Manual,Petrol,800,64000,1070000
van,Toyota,KDH 223,2016,Automatic,Diesel,3000,72000,8420000
van,Suzuki,Every,2015,Manual,Petrol,650,15000,2825000
car,Nissan,N16,2000,Automatic,Petrol,1500,193500,2090000
car,Suzuki,Wagon R,2017,Automatic,Hybrid,650,68000,2850000
car,Suzuki,Alto,2005,Manual,Petrol,800,200000,1150000
car,Perodua,Axia,2017,Automatic,Petrol,1000,42500,3550000
car,Suzuki,Alto,2016,Manual,Petrol,800,57000,1937000
car,Nissan,FB15,2000,Automatic,Petrol,1500,160000,2550000
car,Suzuki,Wagon R Stingray,2015,Automatic,Hybrid,650,24000,2525000
car,Suzuki,Alto 800 LXI,2014,Manual,Petrol,800,95000,1900000
car,Suzuki,Wagon R Stingray,2014,Automatic,Hybrid,650,27000,2560000
car,Kia,Rio,2001,Manual,Petrol,1500,195000,1250000
suv,Nissan,X-Trail,2015,Automatic,Hybrid,2000,60000,6500000
car,Toyota,Allion 240,2007,Automatic,Petrol,1500,169000,4385000
car,Suzuki,Alto,2015,Manual,Petrol,800,47000,1750000
pickup,Nissan,Navara,2007,Manual,Diesel,2500,166000,4500000
car,Nissan,March K11,2001,Automatic,Petrol,1000,108000,1575000
pickup,Mahindra,Bolero,2015,Manual,Diesel,2500,78000,2090000
car,Suzuki,Maruti Sport,2012,Manual,Petrol,800,52000,1325000
car,Nissan,Leaf,2014,Automatic,Electric,70,16450,1550000
car,Toyota,Vitz Edition 2,2017,Automatic,Petrol,1000,10800,5275000
car,Suzuki,Alto K10,2012,Manual,Petrol,1000,64500,1850000
van,Toyota,KDH 221,2016,Automatic,Diesel,3000,90000,8500000
car,Honda,Fit Aria,2004,Automatic,Petrol,1500,125000,2450000
